signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,709,0.46,0.448,-1.4393,0.0918,710,-5.8748,5.4105,60,-0.069,0.108,2026-07-14 14:53:39
ZERO_CROSS_UP,921,0.447,0.411,-4.3681,-0.0175,898,-23.9327,18.0018,60,-0.075,-0.017,2026-07-10 19:38:24
VIX_REGIME_CONFIRM,1000,0.322,0.318,2.2866,-0.032,1000,-20.7797,12.6966,60,0.035,-0.039,2026-07-10 23:59:23
SWEEP_ACCELERATION,190,0.363,0.157,-1.5195,-0.017,375,-29.2934,18.5044,60,-0.028,-0.023,2026-07-10 11:42:23
CALL_SURGE,152,0.414,0.384,-29.185,0.0014,151,-73.9813,39.2705,60,-0.299,0.001,2026-07-14 08:31:31
ZERO_CROSS_DOWN,1000,0.463,0.441,-2.2167,0.0879,1000,-23.6491,29.9604,60,-0.037,0.083,2026-07-14 14:51:39
ZERO_PROXIMITY_RESISTANCE,1000,0.344,0.342,-3.5484,0.0369,1000,-6.3338,11.666,60,-0.074,0.046,2026-07-14 14:44:39
IMBALANCE_REVERSAL,1000,0.457,0.414,-8.1731,0.0794,1000,-23.7418,35.7027,60,-0.108,0.076,2026-07-14 14:41:39
DELTA_DIVERGENCE_BEAR,1000,0.315,0.332,1.6841,0.0397,1000,-22.644,24.2016,60,0.032,0.043,2026-07-14 14:54:39
REGIME_TRADE_CONFIRM,1000,0.368,0.343,-2.0181,-0.055,1000,-17.8438,14.8869,60,-0.051,-0.063,2026-07-10 22:17:24
FAILED_SQUEEZE,146,0.384,0.262,-11.4983,-0.1761,141,-47.8903,59.779,60,-0.078,-0.173,2026-07-10 09:51:23
DELTA_DIVERGENCE_BULL,364,0.385,0.352,-1.7278,-0.0605,355,-16.5302,11.9323,60,-0.045,-0.064,2026-07-10 16:16:58
CHARM_MOMENTUM_EOD,185,0.492,0.497,4.8052,0.0279,185,-10.7577,17.115,60,0.085,0.032,2026-07-14 14:53:39
ABSORPTION_REVERSAL,102,0.225,0.212,-4.5043,0.027,99,-7.313,9.6063,60,-0.195,0.04,2026-07-14 14:44:39
PUT_SURGE,31,0.548,0.355,0.8629,-0.1403,31,-23.8662,8.6081,60,0.037,-0.139,2026-07-07 23:59:48
WALL_REJECT_CALL,5,0.4,0.6,2.609,0.2834,5,-5.033,4.253,60,0.426,0.228,2026-07-14 14:43:39
WALL_REJECT_PUT,1,0.0,0.0,-0.42,-1.0,1,-1.71,0.05,60,-0.42,-1.0,2026-07-13 12:22:23
HEDGE_PANIC,1,1.0,1.0,0.93,0.93,1,0.0,0.93,60,0.93,0.93,2026-07-14 12:47:33
