12/09/2025 
SPDR S&P 500 ETF Trust,Last: 654.5,Change:  2.29
Date: 11 de septiembre de 2025, 9:51 GMT-4,Bid: 654.5,Ask: 654.51,Size: 8*6,Volume: 1.913.625
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,1763,667,12,13,14,15,16,17,18,19,20,7
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,5983,666,12,13,14,15,16,17,18,19,20,0
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,11721,665,12,13,14,15,16,17,18,19,20,59
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,5755,664,12,13,14,15,16,17,18,19,20,10
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,7531,663,12,13,14,15,16,17,18,19,20,41
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,18881,662,12,13,14,15,16,17,18,19,20,226
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,23471,661,12,13,14,15,16,17,18,19,20,650
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,24804,660,12,13,14,15,16,17,18,19,20,2598
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,14629,659,12,13,14,15,16,17,18,19,20,4763
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,14360,658,12,13,14,15,16,17,18,19,20,12091
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,24327,657,12,13,14,15,16,17,18,19,20,24629
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,14685,656,12,13,14,15,16,17,18,19,20,40897
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,9993,655,12,13,14,15,16,17,18,19,20,26453
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,7070,654,12,13,14,15,16,17,18,19,20,18471
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,8428,653,12,13,14,15,16,17,18,19,20,15808
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,12607,652,12,13,14,15,16,17,18,19,20,20428
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,4875,651,12,13,14,15,16,17,18,19,20,13153
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,13558,650,12,13,14,15,16,17,18,19,20,25122
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,5543,649,12,13,14,15,16,17,18,19,20,10908
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,4581,648,12,13,14,15,16,17,18,19,20,14535
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,4146,647,12,13,14,15,16,17,18,19,20,11296
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,6269,646,12,13,14,15,16,17,18,19,20,6228
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,5798,645,12,13,14,15,16,17,18,19,20,36510
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,3126,644,12,13,14,15,16,17,18,19,20,22959
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,2291,643,12,13,14,15,16,17,18,19,20,7563
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,1296,642,12,13,14,15,16,17,18,19,20,24651
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,1438,641,12,13,14,15,16,17,18,19,20,20607
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,5409,640,12,13,14,15,16,17,18,19,20,30848
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,948,639,12,13,14,15,16,17,18,19,20,6441
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,949,638,12,13,14,15,16,17,18,19,20,7546
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,1593,637,12,13,14,15,16,17,18,19,20,6433
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,1050,636,12,13,14,15,16,17,18,19,20,9718
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,2441,635,12,13,14,15,16,17,18,19,20,89262
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,514,634,12,13,14,15,16,17,18,19,20,4082
viernes 12 septiembre 2025,1,2,3,4,5,6,7,8,9,162,633,12,13,14,15,16,17,18,19,20,8691
