signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,698,0.458,0.446,-1.4199,0.095,699,-5.8994,5.3526,60,-0.068,0.112,2026-07-10 21:38:10
ZERO_CROSS_UP,921,0.447,0.411,-4.3681,-0.0175,898,-23.9327,18.0018,60,-0.075,-0.017,2026-07-10 19:38:24
VIX_REGIME_CONFIRM,1000,0.322,0.318,2.2866,-0.032,1000,-20.7797,12.6966,60,0.035,-0.039,2026-07-10 23:59:23
SWEEP_ACCELERATION,190,0.363,0.157,-1.5195,-0.017,375,-29.2934,18.5044,60,-0.028,-0.023,2026-07-10 11:42:23
CALL_SURGE,151,0.417,0.387,-28.6747,0.008,150,-73.7031,39.2574,60,-0.294,0.007,2026-07-10 09:36:23
ZERO_CROSS_DOWN,1000,0.489,0.447,-2.4245,0.1092,1000,-20.8935,26.2901,60,-0.039,0.101,2026-07-10 19:55:24
ZERO_PROXIMITY_RESISTANCE,1000,0.273,0.298,1.0988,0.0808,1000,-4.6078,4.8079,60,0.067,0.111,2026-07-10 23:59:23
IMBALANCE_REVERSAL,1000,0.433,0.4,-5.6186,0.0491,1000,-30.9054,40.2535,60,-0.061,0.046,2026-07-10 17:11:16
DELTA_DIVERGENCE_BEAR,1000,0.367,0.366,-0.6308,0.0718,1000,-21.0182,24.9414,60,-0.012,0.077,2026-07-10 16:12:05
REGIME_TRADE_CONFIRM,1000,0.368,0.343,-2.0181,-0.055,1000,-17.8438,14.8869,60,-0.051,-0.063,2026-07-10 22:17:24
FAILED_SQUEEZE,146,0.384,0.262,-11.4983,-0.1761,141,-47.8903,59.779,60,-0.078,-0.173,2026-07-10 09:51:23
DELTA_DIVERGENCE_BULL,364,0.385,0.352,-1.7278,-0.0605,355,-16.5302,11.9323,60,-0.045,-0.064,2026-07-10 16:16:58
CHARM_MOMENTUM_EOD,162,0.519,0.525,6.8887,0.0945,162,-9.4938,19.0916,60,0.116,0.107,2026-07-10 15:42:42
ABSORPTION_REVERSAL,5,0.4,0.6,-37.55,0.9,5,-6.15,44.55,60,-0.752,1.095,2026-06-30 08:25:47
PUT_SURGE,31,0.548,0.355,0.8629,-0.1403,31,-23.8662,8.6081,60,0.037,-0.139,2026-07-07 23:59:48
