signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,1000,0.487,0.462,-4.1068,-0.0432,1000,-6.7426,5.5897,60,-0.187,-0.059,2026-09-08 16:41:57
ZERO_CROSS_UP,1000,0.469,0.417,-2.1497,-0.0161,1000,-22.6543,18.9949,60,-0.039,-0.016,2026-09-08 16:20:34
VIX_REGIME_CONFIRM,1000,0.379,0.366,0.4764,0.1476,1000,-5.2331,9.61,60,0.023,0.214,2026-09-08 16:43:35
SWEEP_ACCELERATION,209,0.349,0.146,-1.5692,-0.0053,438,-28.4321,18.9659,60,-0.03,-0.008,2026-09-08 15:53:57
CALL_SURGE,153,0.412,0.382,-28.9975,-0.0052,152,-73.5081,39.0174,60,-0.298,-0.005,2026-07-15 09:33:45
ZERO_CROSS_DOWN,1000,0.512,0.469,-3.0787,0.0615,1000,-15.0329,18.2228,60,-0.067,0.064,2026-09-08 15:12:34
ZERO_PROXIMITY_RESISTANCE,1000,0.279,0.274,-0.2045,-0.0327,1000,-6.192,7.0007,60,-0.009,-0.053,2026-09-08 16:41:57
IMBALANCE_REVERSAL,1000,0.483,0.432,-2.8636,0.0275,1000,-17.1344,20.1039,60,-0.069,0.03,2026-09-08 15:59:34
DELTA_DIVERGENCE_BEAR,1000,0.263,0.278,3.8563,-0.0745,1000,-14.9587,13.3184,60,0.126,-0.093,2026-09-08 16:00:35
REGIME_TRADE_CONFIRM,1000,0.381,0.365,1.2694,0.0252,1000,-9.3188,11.2546,60,0.043,0.035,2026-09-08 16:43:34
FAILED_SQUEEZE,171,0.339,0.239,-10.2256,-0.1607,163,-41.5812,52.5673,60,-0.074,-0.167,2026-09-08 15:05:35
DELTA_DIVERGENCE_BULL,491,0.377,0.341,-2.8737,-0.1036,478,-16.6751,11.389,60,-0.076,-0.114,2026-09-08 16:05:34
CHARM_MOMENTUM_EOD,262,0.366,0.359,-2.7665,-0.2514,262,-17.4812,13.2883,60,-0.054,-0.291,2026-09-08 15:12:34
ABSORPTION_REVERSAL,194,0.216,0.213,-1.8947,-0.0059,188,-7.1024,8.1285,60,-0.075,-0.009,2026-09-08 15:58:34
PUT_SURGE,31,0.548,0.355,0.8629,-0.1403,31,-23.8662,8.6081,60,0.037,-0.139,2026-07-07 23:59:48
WALL_REJECT_CALL,298,0.409,0.371,-0.6087,0.0324,291,-6.55,7.435,60,-0.027,0.04,2026-09-08 14:26:35
WALL_REJECT_PUT,47,0.106,0.1,1.0385,-0.1163,40,-2.6265,2.8247,60,0.067,-0.209,2026-09-08 10:25:34
HEDGE_PANIC,1,1.0,1.0,0.93,0.93,1,0.0,0.93,60,0.93,0.93,2026-07-14 12:47:33
WALL_BREAK_CALL,67,0.0,0.0,-7.3263,-0.0896,67,-8.9155,0.0,60,-0.306,-0.311,2026-07-17 09:00:57
WALL_BREAK_PUT,46,0.63,0.63,-1.5141,0.3038,46,-2.8098,4.3207,60,-0.332,0.357,2026-09-04 09:41:39
GAMMA_COMPRESSION_BREAKOUT,20,0.2,0.192,-2.4723,-0.2448,26,-15.8484,14.4247,60,-0.086,-0.277,2026-08-04 16:49:19
DEALER_UNWIND,6,0.333,0.167,-2.8317,-0.2783,6,-5.885,1.03,60,-0.381,-0.655,2026-09-03 16:01:46
