signal,n,win_rate,win_rate_barrier,expectancy,expectancy_R,n_barrier,mae,mfe,avg_duration,sharpe_like,sharpe_R,last_updated
PINNING_RISK,668,0.449,0.436,-1.4933,0.0952,669,-6.1441,5.5525,60,-0.07,0.11,2026-07-10 15:57:27
ZERO_CROSS_UP,912,0.444,0.407,-4.4561,-0.021,889,-24.1507,18.1245,60,-0.076,-0.02,2026-07-10 15:59:13
VIX_REGIME_CONFIRM,1000,0.312,0.312,1.9576,-0.0325,1000,-21.172,12.7104,60,0.03,-0.04,2026-07-10 16:03:27
SWEEP_ACCELERATION,190,0.363,0.157,-1.5195,-0.017,375,-29.2934,18.5044,60,-0.028,-0.023,2026-07-10 11:42:23
CALL_SURGE,151,0.417,0.387,-28.6747,0.008,150,-73.7031,39.2574,60,-0.294,0.007,2026-07-10 09:36:23
ZERO_CROSS_DOWN,1000,0.5,0.451,-2.8752,0.1123,1000,-20.8987,26.7401,60,-0.045,0.103,2026-07-10 15:57:27
ZERO_PROXIMITY_RESISTANCE,1000,0.285,0.301,1.4853,0.0914,1000,-5.5244,5.8535,60,0.081,0.123,2026-07-10 16:03:27
IMBALANCE_REVERSAL,1000,0.435,0.397,-5.7901,0.049,1000,-30.9619,40.5892,60,-0.063,0.046,2026-07-10 15:36:24
DELTA_DIVERGENCE_BEAR,1000,0.366,0.366,-0.622,0.0711,1000,-21.0234,24.931,60,-0.012,0.076,2026-07-10 15:57:27
REGIME_TRADE_CONFIRM,1000,0.363,0.348,-4.5675,-0.0417,1000,-20.9585,15.4862,60,-0.101,-0.046,2026-07-10 16:02:40
FAILED_SQUEEZE,146,0.384,0.262,-11.4983,-0.1761,141,-47.8903,59.779,60,-0.078,-0.173,2026-07-10 09:51:23
DELTA_DIVERGENCE_BULL,362,0.381,0.348,-1.8157,-0.0639,353,-16.5947,11.9185,60,-0.047,-0.067,2026-07-10 16:02:40
CHARM_MOMENTUM_EOD,162,0.519,0.525,6.8887,0.0945,162,-9.4938,19.0916,60,0.116,0.107,2026-07-10 15:42:42
ABSORPTION_REVERSAL,5,0.4,0.6,-37.55,0.9,5,-6.15,44.55,60,-0.752,1.095,2026-06-30 08:25:47
PUT_SURGE,31,0.548,0.355,0.8629,-0.1403,31,-23.8662,8.6081,60,0.037,-0.139,2026-07-07 23:59:48
